period_end,sport,handle
2020-02-29,Basketball,90197491.0
2020-02-29,Football,11644661.0
2020-02-29,Other,39726196.0
2020-02-29,Parlay,44098183.0
2020-01-31,Baseball,135384.0
2020-01-31,Basketball,59797197.0
2020-01-31,Football,36685200.0
2020-01-31,Other,24591555.0
2020-01-31,Parlay,40590894.0
2019-12-31,Baseball,35827.5
2019-12-31,Basketball,42258785.70000001
2019-12-31,Football,59070303.050000004
2019-12-31,Other,12258881.43
2019-12-31,Parlay,45581170.57000001
2019-11-30,Baseball,19633.34
2019-11-30,Basketball,33624282.56
2019-11-30,Football,57742302.55
2019-11-30,Other,15447570.56
2019-11-30,Parlay,38661815.29
2019-10-31,Baseball,10456032.88
2019-10-31,Basketball,6212423.0
2019-10-31,Football,41052776.0
2019-10-31,Other,12342586.0
2019-10-31,Parlay,20375177.0
2019-09-30,Baseball,3443545.0
2019-09-30,Basketball,120101.0
2019-09-30,Football,20730608.0
2019-09-30,Other,449108.0
2019-09-30,Parlay,9773983.0
